ID_INMUEBLE,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,TITULO_PROPIEDAD
119,Oficialía Mayor,"Escritura Pública número 35312, Volúmen 398 de fecha 26 de marzo de 1975, ante la Notaría Pública número 2 de Pachuca, Hidalgo."
120,Oficialía Mayor,"Escritura Pública número 5038, volumen 93 de fecha 15 de agosto de 2003 ante la Notaría Pública número 1 de Atotonilco El Grande."
121,Oficialía Mayor,Volumen número CCLIX-259 de fecha 19 de mayo de 2009.
122,Oficialía Mayor,"Escritura Pública número 4958, Volumen 93 de fecha 27 de mayo de 2003, ante la Notaría Pública número 1, Tenango de Doria, Hidalgo."
123,Oficialía Mayor,"Escritura Pública número 8,019, Volúmen 113 de fecha 03 de agosto de 2000, ante el Lic. Arturo Durán Rocha, ante la Notaría Pública número 2 de Huejutla de Reyes, Hidalgo."
124,Oficialía Mayor,"Escritura Pública número 8,019, Volúmen 113 de fecha 12 de octubre del 2004, Notaría Pública número 2 de Huejutla, Hidalgo."
125,Oficialía Mayor,Contrato de Compra Venta 
126,Oficialía Mayor,"Escritura Pública número 2784, Volúmen 28 de fecha 07 de febrero de 1987, ante la fe del Lic. Octavio Hernández Palencia, ante la Notaría Pública número 1, Huejutla de Reyes, Hidalgo."
127,Oficialía Mayor,"Escritura Pública número 1772, Volúmen 20 de fecha 13 de enero de 1987, ante la Notaría Pública número 2 Huejutla, Hidalgo."
128,Oficialía Mayor," Escritura Pública número 639, Volumen 6 de fecha 10 de octubre de 1980 ante la Notaría Pública número 7, Huejutla, Hidalgo."
129,Oficialía Mayor,"Contrato Cd-E-2003 0053, Exp. 65/85990 de fecha 16 de diciembre de 2003."
130,Oficialía Mayor,"Escritura Pública número 26,160 número de Libro CCCXXVII-327 del 05 de mayo de 2015,  ante la Notaría Pública número 1 de Huejutla de Reyes, Hidalgo."
131,Oficialía Mayor,"Escritura Pública número 1569, Volúmen 75 de fecha 25 de septiembre del 1986 ante la Notaría Pública número 7 de Pachuca de Soto, Hidalgo."
132,Oficialía Mayor,"Escritura Pública número 10,075, Libro 250 de fecha 05 de julio de 2018 de la Notaría Pública No. 03 de  Actopan, Hidalgo."
133,Oficialía Mayor,"Escritura Pública número 10,104, Libro 251 de fecha 18 de septiembre de 2018 de la Notaría Pública No. 03 de  Actopan, Hidalgo."
134,Oficialía Mayor,"Escritura Pública número 9 de fecha 15 de mayo de 1947, ante la Notaría Pública  número 8 de Huichapan, Hidalgo."
135,Oficialía Mayor,"Escritura Pública número 14 de fecha 15 de junio de 1940, ante al Notaría Pública número 8 de Huichapan, Hidalgo."
136,Oficialía Mayor,"Escritura Pública número 7248, Volúmen 158 de fecha 28 de abril ante la Notaría Pública número 09 de Pachuca de Soto, Hidalgo."
137,Oficialía Mayor,"Escritura Pública número 4 de fecha 31 de marzo de 1943 ante la Notaría Pública número 8 de Huichapan, Hidalgo."
138,Oficialía Mayor,"Escritura Pública número 19950, Volúmen 274 de fecha 05 de agosto de 1996 ante la Notaría Pública número 1 de Huichapan, Hidalgo."
139,Oficialía Mayor,"Contrato privado de fecha 09 de octubre de 1990, Huichapan de Soto, Hidalgo."
140,Oficialía Mayor,"Escritura Pública número 32 Volúmen 3 de fecha 10 de septiembre de 1938, ante la Notaría Pública  número 8 de Huichapan, Hidalgo."
141,Oficialía Mayor,Decreto de Expropiación de fecha 12 de marzo de 1990.
142,Oficialía Mayor,"Escritura Pública número 2137, Volúmen XXXIII de fecha 14 de enero de 1988, ante la Notaría Pública número 2 de Ixmiquilpan, Hidalgo."
143,Oficialía Mayor,"Escritura Pública número 3383, Volúmen 42 de fecha 27 de julio de 1991 ante la Notaría Pública número 2 de Huejutla, Hidalgo."
144,Oficialía Mayor,"Escritura Pública número 3383, Volúmen 42 de fecha 27 de julio de 1991, ante la Notaría Pública número 2 de Huejutla, Hidalgo."
145,Oficialía Mayor,"Escritura Pública número 16250, Volúmen 358 de fecha 10 de octubre de 2007 ante la Notaría Pública número 2 de Ixmiquilpan, Hidalgo."
146,Oficialía Mayor,"Escritura Pública número 45, Volúmen 1 de fecha 06 de diciembre de 1952 ante la Notaría Pública número 9 de Ixmiquilpan, Hidalgo."
147,Oficialía Mayor,"Escritura Pública número 45, Volúmen 1 de fecha 06 de diciembre de 1952 ante la Notaría Pública número 9 de Ixmiquilpan, Hidalgo."
148,Oficialía Mayor,"Escritura Pública número 2048 , Volúmen 28 de fecha 30 de junio de 1986, ante la Notaría Pública número 1 de Ixmiquilpan, Hidalgo."
149,Oficialía Mayor,"Escritura Pública número 50169, Volúmen 691 de fecha 20 de junio de 1997, ante la Notaría Pública número 2, Pachuca de Soto, Hidalgo."
150,Oficialía Mayor,"Escritura Pública número 42292, Volúmen 1332 de fecha 11 de mayo de 2010 ante la Notaría Pública número 3 de Ixmiquilpan, Hidalgo."
151,Oficialía Mayor,"Escritura Pública número 6735, Volúmen 92 de fecha 13 de septiembre de 1988 ante la Notaría Pública número 1 Zimapan, Hidalgo."
152,Oficialía Mayor,"Escritura Pública número 79, Volúmen 1 de fecha 25 de agosto de 1958 ante la Notaría Pública número 9, Ixmiquilpan, Hidalgo."
153,Oficialía Mayor,"Escritura Pública número 44 Volúmen 1 de fecha 13 de mayo de 1958, ante la Notaría Pública número 9, Ixmiquilpan, Hidalgo."
154,Oficialía Mayor,"Escritura Pública número 5845, Volúmen CXX de fecha 26 de marzo 1997 ante la Notaría Pública número 02, Ixmiquilpan, Hidalgo."
155,Oficialía Mayor,"Escritura Pública número 2 de fecha 14 de febrero de 1952, ante la Notaría Pública número 9 de Ixmiquipan, Hidalgo."
156,Oficialía Mayor,"Escritura Pública número 6 Volúmen I de fecha 03 de febrero de 1961 ante la Notaría Pública número 9 Ixmiquilpan, Hidalgo."
157,Oficialía Mayor,"1.- Escritura Pública número 7900 del 12 de abril de 1995. 2.- Escritura Pública número 6052, volumen CXIII de fecha 16 de febrero de 1998. 3.- Escritura Pública número 9006, volumen 210 del 10 de abril de 1995. 4.- Escritura Pública número 5619, Volumen CXVI de fecha 25 de marzo de 1997."
158,Oficialía Mayor,1.- Escritura Pública número 6052 Vol CXXIII de fecha 26 de marzo de 1998 ante la Notaría Pública número 2 de Ixmiquilpan.2.- Escritura Pública número5619 Vol CXVI de fecha 14 de noviembre de 1997 ante la Notaría Pública número 2 de Ixmiquilpan.
